no,dispay,category,name,address,area,lat,lng,memo
,1,子どもの公園,港コミュニティーセンター子どもの広場,輪島崎町1部211-4,351,37.4031944444,136.8998194444,
,1,子どもの公園,海士町子どもの広場,海士町天地15,231,37.4016805556,136.8973722222,
,1,子どもの公園,鳳来山子どもの広場,鳳至町石浦町12,250,37.3994805556,136.8966944444,
,1,子どもの公園,上町小公園,鳳至町上町156-22,1090,37.3953111111,136.8985222222,
,1,子どもの公園,夕陽ヶ丘子どもの広場,堀町161-3,518,37.3976861111,136.8905916667,
,1,子どもの公園,平成公園,平成町10,288.55,37.3937888889,136.8927972222,
,1,子どもの公園,おがせ公園,平成町52,215.84,37.3936527778,136.8936916667,
,1,子どもの公園,南町子どもの広場,堀町33-1,840.9,37.3900805556,136.8956388889,
,1,子どもの公園,二勢町子どもの広場,二勢町51,797,37.3877333333,136.8969972222,
,1,子どもの公園,気勝平汐見台公園,気勝平町129,1716,37.3798583333,136.8944333333,
,1,子どもの公園,気勝平児童公園,気勝平町2416,3170,37.3823055556,136.8975638889,
,1,子どもの公園,宮川町子どもの広場,杉平町深見田13-6,130.64,37.3873055556,136.9065805556,
,1,子どもの公園,中浜町子どもの広場,河井町4部地先,56,37.3958805556,136.9047833333,
,1,子どもの公園,観音町子どもの広場,河井町5部,360,37.3942944444,136.907725,
,1,子どもの公園,弥生町第２子どもの広場,河井町6部35-42,60.6,37.3934666667,136.9112111111,
,1,子どもの公園,弥生町第１子どもの広場,河井町6部87-12,220.56,37.3936416667,136.9126611111,
,1,子どもの公園,名舟町子どもの広場（旧名舟小学校）,名舟町ト1-1,200,37.4326027778,137.0186805556,
,1,子どもの公園,大倉公園,町野町大川七43番1,1819.75,37.4426,137.0702138889,
,1,子どもの公園,町野公園,町野町鈴屋イ2,3761.14,37.4256638889,137.0893361111,
